LAT,LON
55.94472,-3.1860873
55.947227,-3.1833296
55.944617,-3.1828177
55.944617,-3.1828177
55.944617,-3.1828177
55.944617,-3.1828177
55.947349,-3.1958235
55.945695,-3.191241
55.945994,-3.19101
55.947077,-3.1979128
55.94262,-3.1839416
55.941982,-3.1831056
55.943152,-3.1828211
55.942496,-3.1847064
55.944773,-3.1843436
55.943831,-3.1832581
55.943863,-3.1827947
55.943862,-3.1828107
55.943862,-3.1828267
55.943871,-3.182827
55.939862,-3.1829769
55.941813,-3.1847496
55.942823,-3.1862854
55.94285,-3.1862702
55.942814,-3.1862852
55.942841,-3.18627
55.942975,-3.1853615
55.942975,-3.1853615
55.942975,-3.1853615
55.942984,-3.1853457
55.944172,-3.1851418
55.94427,-3.1852729
55.945006,-3.1862721
55.945015,-3.1862724
55.945979,-3.1869744
55.945979,-3.1869584
55.94689,-3.1875467
55.945833,-3.1834472
55.945824,-3.183447
55.945824,-3.183447
55.945842,-3.1834475
55.945833,-3.1834312
55.947375,-3.1828698
55.946946,-3.1835292
55.945805,-3.1872573
55.941118,-3.1831593
55.941831,-3.1847021
55.947123,-3.1839029
55.947159,-3.183856
55.948571,-3.1856125
55.946514,-3.1994166
55.944882,-3.1962758
55.943829,-3.1918562
55.943128,-3.1918347
55.943129,-3.1918187
55.943129,-3.1918026
55.943128,-3.1918507
55.943221,-3.192478
55.943221,-3.192462
55.943221,-3.192494
55.943221,-3.19251
55.943445,-3.1925649
55.943445,-3.1925329
55.943445,-3.1925809
55.943445,-3.1925489
55.943053,-3.1931293
55.943053,-3.1931613
55.943366,-3.193299
55.943037,-3.1938333
55.943297,-3.1939053
55.943294,-3.1942094
55.942914,-3.1944539
55.943246,-3.1945282
55.943145,-3.1965745
55.942778,-3.1964831
55.94314,-3.1962541
55.943133,-3.1959497
55.942829,-3.1958763
55.943217,-3.1956481
55.942916,-3.1952385
55.943242,-3.1949283
55.945167,-3.1825783
55.942488,-3.1986036
55.942348,-3.1861268
55.941822,-3.1847178
55.941831,-3.1847501
55.943809,-3.1837377
55.944702,-3.1833007
55.944711,-3.1833009
55.944381,-3.1830667
55.941345,-3.1829261
55.941292,-3.1828924
55.947515,-3.1832744
55.9478,-3.1835233
55.943456,-3.1839191
55.942488,-3.1846421
55.942399,-3.1845593
55.94239,-3.184511
55.94597,-3.1869421
55.946006,-3.1869592
55.945015,-3.1862564
55.943663,-3.1996807
55.948175,-3.1884828
55.941899,-3.1842238
55.948912,-3.1865998
55.947132,-3.1866894
55.941822,-3.1847018
55.94689,-3.1875627
55.94689,-3.1875627
55.94689,-3.1875627
55.94689,-3.1875627
55.943124,-3.199664
55.943124,-3.19968
55.945149,-3.1825938
55.945385,-3.1833375
55.945385,-3.1833375
55.942348,-3.1861268
55.942357,-3.1861111
55.939625,-3.1917591
55.947632,-3.1962325
55.947962,-3.1946414
55.946383,-3.1888442
55.946478,-3.1984867
55.946479,-3.1984707
55.948283,-3.184755
55.948264,-3.1847865
55.948247,-3.1846899
55.948351,-3.1962547
55.944846,-3.1963067
55.943465,-3.1839514
55.947657,-3.1945839
55.941831,-3.1847181
55.943139,-3.1962701
55.943217,-3.1956801
55.942829,-3.1958923
55.943133,-3.1959657
55.942778,-3.1964991
55.943218,-3.1956161
55.942829,-3.1958443
55.943212,-3.1952316
55.94314,-3.1962221
55.942916,-3.1952065
55.942914,-3.1944699
55.943246,-3.1945442
55.943134,-3.1959337
55.943246,-3.1944962
55.943297,-3.1938733
55.943366,-3.193283
55.943297,-3.1939213
55.943145,-3.1965905
55.943294,-3.1941774
55.942829,-3.1958603
55.943208,-3.1956318
55.943146,-3.1965425
55.943146,-3.1965585
55.942778,-3.1964671
55.942778,-3.1964511
55.94314,-3.1962381
55.942916,-3.1952545
55.943242,-3.1949123
55.942915,-3.1944379
55.943217,-3.1956481
55.943134,-3.1959177
55.943366,-3.193315
55.943294,-3.1941934
55.943053,-3.1931773
55.943242,-3.1949443
55.943243,-3.1948963
55.943294,-3.1942254
55.942915,-3.1944219
55.943212,-3.1952796
55.943037,-3.1938173
55.942916,-3.1952225
55.943053,-3.1931453
55.943038,-3.1938012
55.943297,-3.1938893
55.943037,-3.1938493
55.943246,-3.1945122
55.943212,-3.1952476
55.943366,-3.193267
55.948242,-3.1889172
55.948293,-3.1892391
55.944773,-3.1843756
55.944773,-3.1843596
55.943849,-3.1832586
55.947367,-3.1948792
55.947358,-3.194895
55.947358,-3.194911
55.948063,-3.1832591
55.948036,-3.1832903
55.943447,-3.1839509
55.94305,-3.1832182
55.947141,-3.1866737
55.947141,-3.1866577
55.939736,-3.1830051
55.947132,-3.1838712
55.948544,-3.1855957
55.948544,-3.1855797
55.945787,-3.1872568
55.945796,-3.1872891
55.947718,-3.1827521
55.947629,-3.1826213
55.947585,-3.1825719
55.948939,-3.1865526
55.939862,-3.1829769
55.94002,-3.1946049
55.940092,-3.1945271
55.942449,-3.1989226
55.942368,-3.1998168
55.943522,-3.1993881
55.943522,-3.1993881
55.945851,-3.1974265
55.945885,-3.196707
55.945869,-3.1974431
55.945885,-3.196659
55.948799,-3.1843064
55.948763,-3.1843373
55.948194,-3.1893161
55.948284,-3.1892388
55.948257,-3.18927
55.947293,-3.1969747
55.947393,-3.1967856
55.947739,-3.1954672
55.947284,-3.1969264
55.947721,-3.1954826
55.947394,-3.1967216
55.947421,-3.1967704
55.947257,-3.1969255
55.94773,-3.1954189
55.942095,-3.1825327
55.941771,-3.1834674
55.948963,-3.1878344
55.948963,-3.1878344
55.948954,-3.1878501
55.948795,-3.1884057
55.948646,-3.1889776
55.94253,-3.1969878
55.94253,-3.1969878
55.94253,-3.1970198
55.943177,-3.1849833
55.946392,-3.1888925
55.94641,-3.1888611
55.948769,-3.1874601
55.939643,-3.1917436
55.943484,-3.1941352
55.943478,-3.1937508
55.943212,-3.1952636
55.943402,-3.1941647
55.941908,-3.1842401
55.944791,-3.1843441
55.944773,-3.1843596
55.946869,-3.1971377
55.943849,-3.1832586
55.94384,-3.1832583
55.946559,-3.199482
55.948793,-3.1887099
55.946602,-3.1987307
55.942339,-3.1861425
55.946018,-3.1894255
55.947358,-3.194895
55.948479,-3.1886042
55.941118,-3.1832394
55.9411,-3.1831588
55.947774,-3.1843872
55.947544,-3.1849726
55.947375,-3.185656
55.944703,-3.1832526
55.944814,-3.1959375
55.944875,-3.1952028
55.945442,-3.1838837
55.945013,-3.1846711
55.944573,-3.1855224
55.944592,-3.1854429
55.944867,-3.1848909
55.944995,-3.1846226
55.943699,-3.1848392
55.943877,-3.1841081
55.943808,-3.1837697
55.946988,-3.182938
55.947742,-3.1941702
55.94285,-3.1834363
55.942877,-3.1834371
55.943385,-3.1839009
55.943438,-3.1839506
55.944574,-3.1826403
55.945003,-3.1828295
55.939736,-3.1830051
55.94715,-3.1838557
55.94747,-3.183289
55.947593,-3.1826042
55.946296,-3.182997
55.946375,-3.1831115
55.943892,-3.1844448
55.945863,-3.1868588
55.945535,-3.1864004
55.944721,-3.1860713
55.945535,-3.1863844
55.945064,-3.1858896
55.947727,-3.1827364
55.943105,-3.1997595
55.943137,-3.1993282
55.943044,-3.1996295
55.945915,-3.1860918
55.947608,-3.1923086
55.939862,-3.183009
55.939862,-3.1829609
55.939765,-3.1837264
55.939714,-3.1843493
55.940047,-3.1945738
55.939813,-3.1946466
55.940091,-3.1946072
55.942457,-3.1989549
55.942322,-3.1999434
55.942542,-3.1986053
55.94306,-3.1989095
55.943692,-3.1995375
55.942551,-3.1986056
55.943087,-3.1988943
55.947173,-3.1991647
55.947236,-3.1982379
55.947322,-3.1986409
55.947173,-3.1991647
55.945258,-3.1973442
55.945697,-3.1975499
55.945885,-3.196643
55.945851,-3.1974265
55.948561,-3.1949641
55.948636,-3.1947102
55.948156,-3.185792
55.948237,-3.1848337
55.946365,-3.184152
55.946272,-3.1845174
55.948746,-3.1842567
55.946787,-3.1953578
55.944408,-3.1830835
55.948166,-3.1884825
55.948293,-3.1892871
55.941976,-3.1827212
55.941797,-3.1835963
55.942103,-3.182581
55.945403,-3.183338
55.94515,-3.1825617
55.945385,-3.1833375
55.947947,-3.1934239
55.948972,-3.1878186
55.948956,-3.1857524
55.948681,-3.1891068
55.947226,-3.1909037
55.94253,-3.1969878
55.942542,-3.196764
55.948998,-3.1953298
55.947402,-3.1922382
55.941283,-3.1828762
55.941336,-3.1829578
55.942984,-3.1844011
55.941772,-3.1834034
55.942949,-3.1844
55.943204,-3.1849521
55.943195,-3.1849038
55.946364,-3.1889557
55.941917,-3.1842244
55.939625,-3.191711
55.93967,-3.192689
